"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0001","Otu0001",1843211,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0002","Otu0002",552051,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0003","Otu0003",516480,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0004","Otu0004",501535,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu0005","Otu0005",267181,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia"
"Otu0006","Otu0006",218539,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0007","Otu0007",136463,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0008","Otu0008",114075,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0009","Otu0009",110204,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0010","Otu0010",106787,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Finegoldia"
"Otu0011","Otu0011",98948,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"Otu0012","Otu0012",97349,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0013","Otu0013",96884,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0014","Otu0014",96323,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0015","Otu0015",91308,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0016","Otu0016",89774,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu0017","Otu0017",73169,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Peptoniphilus"
"Otu0018","Otu0018",70618,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera"
"Otu0019","Otu0019",67201,"Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"Otu0020","Otu0020",66811,"Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus"
"Otu0021","Otu0021",63257,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Proteus"
"Otu0022","Otu0022",60059,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0023","Otu0023",59918,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0024","Otu0024",59583,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0025","Otu0025",56707,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0026","Otu0026",55816,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0027","Otu0027",53378,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0028","Otu0028",52801,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0029","Otu0029",52300,"Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu0030","Otu0030",52068,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Otu0031","Otu0031",51364,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0032","Otu0032",49855,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0033","Otu0033",48965,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0034","Otu0034",47041,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0035","Otu0035",45710,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister"
"Otu0036","Otu0036",45154,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0037","Otu0037",43861,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0038","Otu0038",43755,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0039","Otu0039",40786,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0040","Otu0040",40745,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_unclassified"
"Otu0041","Otu0041",40270,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0042","Otu0042",39197,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0043","Otu0043",37988,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu0044","Otu0044",37396,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0045","Otu0045",33174,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0046","Otu0046",32389,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Otu0047","Otu0047",31129,"Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Otu0048","Otu0048",30982,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0049","Otu0049",28467,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0050","Otu0050",27878,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Otu0051","Otu0051",27450,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis"
"Otu0052","Otu0052",27264,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu0053","Otu0053",25425,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0054","Otu0054",25399,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera"
"Otu0055","Otu0055",21407,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0056","Otu0056",21228,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0057","Otu0057",21013,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0058","Otu0058",20791,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus"
"Otu0059","Otu0059",20357,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus"
"Otu0060","Otu0060",19832,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"Otu0061","Otu0061",19798,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0062","Otu0062",19557,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0063","Otu0063",19023,"Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Otu0064","Otu0064",18871,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0065","Otu0065",17913,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaeroglobus"
"Otu0066","Otu0066",16999,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0067","Otu0067",16919,"Firmicutes","Clostridia","Clostridiales","Incertae_Sedis_XI","Murdochiella"
"Otu0068","Otu0068",16726,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Otu0069","Otu0069",15914,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0070","Otu0070",15773,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0071","Otu0071",15499,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0072","Otu0072",15181,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0073","Otu0073",14909,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Otu0074","Otu0074",14650,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0075","Otu0075",14647,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Morganella"
"Otu0076","Otu0076",14556,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"Otu0077","Otu0077",14398,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia"
"Otu0078","Otu0078",13979,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum"
"Otu0079","Otu0079",13899,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"Otu0080","Otu0080",13722,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_incertae_sedis"
"Otu0081","Otu0081",13682,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0082","Otu0082",12965,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Peptoniphilus"
"Otu0083","Otu0083",12861,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0084","Otu0084",12772,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter"
"Otu0085","Otu0085",12726,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor"
"Otu0086","Otu0086",12606,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0087","Otu0087",12243,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0088","Otu0088",12232,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae_unclassified"
"Otu0089","Otu0089",12118,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII"
"Otu0090","Otu0090",11820,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Otu0091","Otu0091",11682,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"Otu0092","Otu0092",11668,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0093","Otu0093",11496,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0094","Otu0094",11125,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0095","Otu0095",10882,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0096","Otu0096",10574,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0097","Otu0097",10553,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0098","Otu0098",10547,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"Otu0099","Otu0099",10430,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0100","Otu0100",10420,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0101","Otu0101",9975,"Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Otu0102","Otu0102",9954,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0103","Otu0103",9930,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified","Actinomycetales_unclassified"
